NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_PSEUDOPODIUM	18	16		
GOCC_SNARE_COMPLEX	50	45		
GOCC_SCAR_COMPLEX	10		Rejected!	
GOCC_ENDOPLASMIC_RETICULUM_PALMITOYLTRANSFERASE_COMPLEX	8		Rejected!	
GOCC_ANCHORED_COMPONENT_OF_MEMBRANE	170	117		
GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	1730		Rejected!	
GOCC_INTRINSIC_COMPONENT_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	165	154		
GOCC_INTRINSIC_COMPONENT_OF_GOLGI_MEMBRANE	66	61		
GOCC_INTRINSIC_COMPONENT_OF_NUCLEAR_INNER_MEMBRANE	15		Rejected!	
GOCC_INTRINSIC_COMPONENT_OF_PEROXISOMAL_MEMBRANE	15	15		
GOCC_EXTRINSIC_COMPONENT_OF_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	8		Rejected!	
GOCC_INTRINSIC_COMPONENT_OF_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	23	15		
GOCC_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	100	88		
GOCC_INTRINSIC_COMPONENT_OF_THE_CYTOPLASMIC_SIDE_OF_THE_PLASMA_MEMBRANE	8		Rejected!	
GOCC_PROTEIN_ACETYLTRANSFERASE_COMPLEX	94	87		
GOCC_CELL_LEADING_EDGE	411	367		
GOCC_CELL_PROJECTION_MEMBRANE	337	272		
GOCC_CELL_TRAILING_EDGE	13		Rejected!	
GOCC_LEADING_EDGE_MEMBRANE	173	144		
GOCC_LAMELLIPODIUM_MEMBRANE	22	21		
GOCC_DNA_REPLICATION_PREINITIATION_COMPLEX	12		Rejected!	
GOCC_DEATH_INDUCING_SIGNALING_COMPLEX	9		Rejected!	
GOCC_CD95_DEATH_INDUCING_SIGNALING_COMPLEX	6		Rejected!	
GOCC_INTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE	402	366		
GOCC_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_INNER_MEMBRANE	55	50		
