"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AP1S2",0.000103738449812276,0.200466387767899,0.571,0.534,1
"ITPR1",0.000107017073420905,0.212952832231788,0.17,0.12,1
"CSGALNACT2",0.00011627442681867,0.274550759853693,0.295,0.241,1
"PMP22",0.000121534646584052,0.278987880832618,0.47,0.426,1
"TPST2",0.000123183253344767,0.229352446511658,0.335,0.282,1
"LAIR1",0.000140121968838557,0.230041188722163,0.598,0.574,1
"PRCP",0.000141010717680197,0.202695811690233,0.397,0.348,1
"POLR2L",0.000155472561816869,0.21948365341145,0.656,0.642,1
"GNPDA1",0.000177412164765207,0.267089776254649,0.382,0.337,1
"SERPINB9",0.000178422679096539,0.317794512598507,0.112,0.071,1
"RIN2",0.000194965366655082,0.228236126606244,0.258,0.204,1
"BNIP3L",0.000202863910585886,0.258904361782115,0.549,0.544,1
"PDIA6",0.000204647349633609,0.264143390853116,0.653,0.645,1
"DDX3X",0.00021650406420134,0.29258337610641,0.502,0.465,1
"ARFGAP3",0.00023175764312234,0.391113738763289,0.379,0.346,1
"IVNS1ABP",0.000245089803244978,0.34345154288504,0.389,0.346,1
"PTPRE",0.000246189203425041,0.232013835144831,0.352,0.298,1
"ATP6V0A1",0.000247806964235231,0.221354703834941,0.438,0.396,1
"G3BP1",0.000249871791339064,0.221123189443002,0.486,0.456,1
"NORAD",0.000252033987587792,0.262553454293005,0.407,0.365,1
"IFNGR2",0.000257844160237702,0.252862928309273,0.593,0.578,1
"MITF",0.000262630999644539,0.238229692314031,0.323,0.275,1
"EHD1",0.000286235331360209,0.210234708845393,0.115,0.076,1
"PLEKHB2",0.000287230172518918,0.250815947383026,0.666,0.656,1
"ACBD3",0.000288000526223644,0.278520527550228,0.392,0.349,1
"OGFRL1",0.000292462712485382,0.270897617253907,0.496,0.459,1
"CD300E",0.000347561600227694,0.376467317491922,0.102,0.066,1
"GLA",0.000347571224703084,0.334157773819761,0.429,0.409,1
"GBP2",0.000404389674465289,0.228082338368521,0.323,0.271,1
